list_name,name,label,link_group,link_maingroup,usercountry,curr_sdate,curr_fdate,curr_detail_link,,,,,,,,,,,
hazardsubsubtypes,BI0006,Snake Envenomation,hazbiohumani,haztypebio,,,,,,,,,,,,,,,
hazardsubsubtypes,BI0007,Human-Wildlife Conflict,hazbiohumani,haztypebio,,,,,,,,,,,,,,,
hazardsubsubtypes,BI0008,Biological Agents,hazbiocbrne,haztypebio,,,,,,,,,,,,,,,
hazardsubsubtypes,BI0009,Suicide Cluster,hazbiomenthe,haztypebio,,,,,,,,,,,,,,,
hazardsubsubtypes,BI0010,Antimicrobial Resistance,hazbiofoodsaf,haztypebio,,,,,,,,,,,,,,,
hazardsubsubtypes,BI0011,Foodborne Microbial Hazards (including human enteric virus and foodborne parasite),hazbiofoodsaf,haztypebio,,,,,,,,,,,,,,,
hazardsubsubtypes,BI0012,Bacterial Plant Disease,hazbioinfdispla,haztypebio,,,,,,,,,,,,,,,
hazardsubsubtypes,BI0013,Fungal Plant Disease,hazbioinfdispla,haztypebio,,,,,,,,,,,,,,,
hazardsubsubtypes,BI0014,"Viral, Mycoplasma and Viroid Plant Disease Epidemics",hazbioinfdispla,haztypebio,,,,,,,,,,,,,,,
hazardsubsubtypes,BI0015,Anthrax,hazbioinfdisanihum,haztypebio,,,,,,,,,,,,,,,
hazardsubsubtypes,BI0016,Airborne Diseases,hazbioinfdisanihum,haztypebio,,,,,,,,,,,,,,,
hazardsubsubtypes,BI0017,Blood Borne Viruses,hazbioinfdisanihum,haztypebio,,,,,,,,,,,,,,,
hazardsubsubtypes,BI0018,Waterborne Diseases,hazbioinfdisanihum,haztypebio,,,,,,,,,,,,,,,
hazardsubsubtypes,BI0019,Foodborne Diseases,hazbioinfdisanihum,haztypebio,,,,,,,,,,,,,,,
